scientific_name,common_name,taxonomic_order,n_checklists,total_count,max_count,has_breeding_code,has_media,n_localities,frequency
Cardinalis cardinalis,Northern Cardinal,34224,170,902.0,30.0,True,0,58,0.7054
Thryothorus ludovicianus,Carolina Wren,27107,118,279.0,9.0,True,0,41,0.4896
Baeolophus bicolor,Tufted Titmouse,21936,113,359.0,15.0,True,0,42,0.4689
Mimus polyglottos,Northern Mockingbird,27870,108,304.0,16.0,True,1,43,0.4481
Zenaida macroura,Mourning Dove,2373,105,379.0,35.0,True,0,43,0.4357
Zonotrichia albicollis,White-throated Sparrow,32919,104,373.0,18.0,False,1,35,0.4315
Cyanocitta cristata,Blue Jay,21066,98,287.0,8.0,True,0,36,0.4066
Melanerpes carolinus,Red-bellied Woodpecker,11088,96,155.0,7.0,True,0,38,0.3983
Corvus brachyrhynchos,American Crow,21333,93,312.0,50.0,True,0,36,0.3859
Pipilo erythrophthalmus,Eastern Towhee,33136,85,197.0,11.0,True,0,34,0.3527
Sialia sialis,Eastern Bluebird,27881,84,187.0,10.0,True,1,35,0.3485
Haemorhous mexicanus,House Finch,32034,84,232.0,12.0,True,0,31,0.3485
Poecile carolinensis,Carolina Chickadee,21836,83,188.0,16.0,True,0,32,0.3444
Sayornis phoebe,Eastern Phoebe,16840,81,128.0,6.0,True,1,30,0.3361
Turdus migratorius,American Robin,28313,78,887.0,100.0,True,0,34,0.3237
Dryobates pubescens,Downy Woodpecker,11287,74,111.0,6.0,True,0,30,0.3071
Bombycilla cedrorum,Cedar Waxwing,29618,74,1800.0,300.0,False,1,26,0.3071
Setophaga coronata,Yellow-rumped Warbler,33874,73,330.0,20.0,False,0,35,0.3029
Molothrus ater,Brown-headed Cowbird,33556,69,638.0,120.0,True,0,28,0.2863
Setophaga pinus,Pine Warbler,33868,66,128.0,15.0,True,0,33,0.2739
Spizella passerina,Chipping Sparrow,32708,65,393.0,50.0,True,0,29,0.2697
Corthylio calendula,Ruby-crowned Kinglet,26595,54,85.0,6.0,False,1,27,0.2241
Toxostoma rufum,Brown Thrasher,27795,50,80.0,4.0,True,0,24,0.2075
Spinus tristis,American Goldfinch,32338,49,378.0,120.0,True,0,29,0.2033
Cathartes aura,Turkey Vulture,7720,49,189.0,30.0,True,0,23,0.2033
Agelaius phoeniceus,Red-winged Blackbird,33500,49,809.0,200.0,True,0,21,0.2033
Corvus ossifragus,Fish Crow,21346,44,137.0,20.0,True,0,24,0.1826
Polioptila caerulea,Blue-gray Gnatcatcher,26874,43,136.0,12.0,True,1,23,0.1784
Buteo lineatus,Red-shouldered Hawk,8391,39,50.0,3.0,True,0,21,0.1618
Melospiza melodia,Song Sparrow,32995,38,112.0,15.0,False,1,21,0.1577
Ardea alba,Great Egret,7635,38,104.0,15.0,True,1,18,0.1577
Branta canadensis,Canada Goose,330,37,302.0,50.0,False,1,14,0.1535
Junco hyemalis,Dark-eyed Junco,32842,35,137.0,10.0,False,0,12,0.1452
Colaptes auratus,Northern Flicker,11785,30,49.0,7.0,False,0,20,0.1245
Charadrius vociferus,Killdeer,5770,27,199.0,75.0,False,1,9,0.112
Sitta pusilla,Brown-headed Nuthatch,26683,27,40.0,5.0,True,0,15,0.112
Ardea herodias,Great Blue Heron,7658,25,31.0,4.0,True,0,13,0.1037
Sturnella magna,Eastern Meadowlark,33290,23,397.0,75.0,False,0,7,0.0954
Passer domesticus,House Sparrow,31261,22,50.0,10.0,True,0,8,0.0913
Vireo griseus,White-eyed Vireo,18966,21,48.0,8.0,True,0,15,0.0871
