,0,1,2,3,4,5,6,7,8,9
0,0.0,4.0441,5.815,2.536,0.6594,2.4171,1.7505,4.5063,1.4614,3.7791
1,4.0441,0.0,2.1681,1.8158,4.2862,5.1437,2.4319,1.5195,4.058,1.7985
2,5.815,2.1681,0.0,3.9378,5.8802,6.21,4.435,1.3745,6.1173,2.2416
3,2.536,1.8158,3.9378,0.0,2.9673,4.3061,0.7858,2.9413,2.2549,2.6523
4,0.6594,4.2862,5.8802,2.9673,0.0,1.7606,2.1943,4.5284,2.117,3.7328
5,2.4171,5.1437,6.21,4.3061,1.7606,0.0,3.6258,4.8497,3.8774,3.9741
6,1.7505,2.4319,4.435,0.7858,2.1943,3.6258,0.0,3.2819,1.6885,2.7916
7,4.5063,1.5195,1.3745,2.9413,4.5284,4.8497,3.2819,0.0,4.9653,0.8757
8,1.4614,4.058,6.1173,2.2549,2.117,3.8774,1.6885,4.9653,0.0,4.421
9,3.7791,1.7985,2.2416,2.6523,3.7328,3.9741,2.7916,0.8757,4.421,0.0
