cell_idx,time_idx,y_C,raw_count,prop_identified,trap_hours,trap_type_co2
0,1,0,0,1.0,13.0,1
0,2,0,0,1.0,13.3,1
0,3,0,0,1.0,12.0,1
0,4,0,0,1.0,12.3,1
0,5,38,3,0.08,11.2,1
0,6,1848,85,0.046,11.2,1
0,7,3914,137,0.035,12.2,1
0,8,1533,115,0.075,12.9,1
0,9,202,127,0.63,12.0,1
0,10,97,97,1.0,12.3,1
0,11,4,4,1.0,16.3,1
0,12,0,0,1.0,13.7,1
0,13,0,0,1.0,14.9,1
1,1,0,0,1.0,12.9,1
1,3,0,0,1.0,12.1,1
1,4,0,0,1.0,12.8,1
1,5,400,50,0.125,11.2,1
1,6,339,104,0.307,11.1,1
1,7,2338,159,0.068,12.1,1
1,8,408,122,0.299,14.2,1
1,9,55,55,1.0,11.9,1
1,10,8,8,1.0,12.3,1
1,11,7,7,1.0,16.3,1
1,12,0,0,1.0,13.7,1
1,13,1,1,1.0,15.0,1
1,15,0,0,1.0,16.3,1
2,0,0,0,1.0,14.8,1
2,1,0,0,1.0,12.8,1
2,2,0,0,1.0,13.1,1
2,3,0,0,1.0,12.1,1
2,4,0,0,1.0,13.0,1
2,5,54,20,0.367,11.2,1
2,6,1478,136,0.092,11.1,1
2,7,1635,157,0.096,12.0,1
2,8,1662,128,0.077,14.4,1
2,9,126,126,1.0,11.9,1
2,10,69,69,1.0,12.2,1
2,11,2,2,1.0,16.4,1
2,12,2,2,1.0,13.7,1
2,13,1,1,1.0,15.0,1
2,15,0,0,1.0,16.1,1
3,2,0,0,1.0,13.3,1
3,3,0,0,1.0,12.0,1
3,4,0,0,1.0,12.8,1
3,5,258,40,0.155,11.2,1
3,6,1118,104,0.093,11.1,1
3,7,4279,184,0.043,12.1,1
3,8,475,106,0.223,15.8,1
3,9,324,148,0.457,11.8,1
3,10,41,41,1.0,12.3,1
3,11,3,3,1.0,16.3,1
3,12,5,5,1.0,13.7,1
3,13,0,0,1.0,15.0,1
3,15,0,0,1.0,16.4,1
4,1,0,0,1.0,13.0,1
4,2,0,0,1.0,13.3,1
4,3,0,0,1.0,12.0,1
4,4,0,0,1.0,12.2,1
4,5,246,15,0.061,11.2,1
4,6,1102,54,0.049,11.2,1
4,7,4800,144,0.03,12.2,1
4,8,977,84,0.086,12.9,1
4,9,66,66,1.0,12.0,1
4,10,39,39,1.0,12.2,1
4,11,3,3,1.0,16.2,1
4,12,0,0,1.0,13.6,1
4,13,1,1,1.0,14.9,1
4,15,0,0,1.0,16.0,1
5,1,0,0,1.0,13.1,1
5,2,0,0,1.0,13.3,1
5,3,0,0,1.0,12.0,1
5,4,0,0,1.0,12.1,1
5,5,327,18,0.055,11.0,1
5,6,663,55,0.083,11.2,1
5,7,1786,125,0.07,11.9,1
5,8,1031,99,0.096,12.7,1
5,9,131,88,0.671,12.0,1
5,10,50,30,0.6,12.2,1
5,11,3,3,1.0,16.2,1
5,12,0,0,1.0,13.6,1
5,13,0,0,1.0,14.8,1
5,15,0,0,1.0,15.9,1
6,1,0,0,1.0,12.9,1
6,2,0,0,1.0,13.3,1
6,3,0,0,1.0,12.0,1
6,4,0,0,1.0,12.6,1
6,5,107,9,0.084,11.2,1
6,6,1838,125,0.068,11.2,1
6,7,3667,143,0.039,12.0,1
6,8,2346,122,0.052,13.3,1
6,9,98,98,1.0,11.9,1
6,10,77,77,1.0,12.3,1
6,11,3,3,1.0,16.2,1
6,12,0,0,1.0,13.6,1
6,13,0,0,1.0,15.0,1
6,15,0,0,1.0,16.4,1
7,0,0,0,1.0,14.8,1
7,2,0,0,1.0,13.1,1
7,3,0,0,1.0,12.1,1
7,4,0,0,1.0,12.5,1
7,5,89,14,0.158,11.3,1
7,6,424,100,0.236,11.2,1
7,7,2024,168,0.083,12.0,1
7,8,1292,146,0.113,14.6,1
7,9,70,70,1.0,11.9,1
7,10,7,7,1.0,12.3,1
7,11,0,0,1.0,16.5,1
7,12,0,0,1.0,13.8,1
7,13,0,0,1.0,14.9,1
7,15,0,0,1.0,16.1,1
8,1,0,0,1.0,13.0,1
8,2,0,0,1.0,13.3,1
8,3,0,0,1.0,12.0,1
8,4,0,0,1.0,12.4,1
8,5,243,37,0.152,11.1,1
8,6,2231,116,0.052,11.1,1
8,7,1767,106,0.06,12.2,1
8,8,420,92,0.219,13.1,1
8,9,36,36,1.0,11.9,1
8,10,7,7,1.0,12.3,1
8,11,2,2,1.0,16.3,1
8,12,0,0,1.0,13.7,1
8,13,0,0,1.0,15.0,1
8,15,0,0,1.0,16.4,1
9,3,0,0,1.0,12.1,1
9,4,0,0,1.0,13.0,1
9,5,6,6,1.0,11.3,1
9,6,473,107,0.226,11.1,1
9,7,2170,191,0.088,12.0,1
9,8,2120,176,0.083,14.7,1
9,9,68,68,1.0,11.9,1
9,10,13,13,1.0,12.3,1
9,12,0,0,1.0,13.8,1
9,13,0,0,1.0,15.0,1
