"i","w","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
1,3.63766130849928e-07,-0.52214752930224,0.372350206783874,7.70594112384862,2221.50711208289,4.50848925866112,90.7845628656931,-1.96589654826173,0.122830321334592,0.00285246327580853,0.372903782318359,0.487359442588747
2,5.9345339401338e-05,-0.621422113761236,0.349458082988705,7.97124882063317,2896.47228090713,4.9538926173043,141.725574992804,-1.81108024001247,0.140507619634444,0.0476848538104003,0.520981104888358,0.36546258216044
3,3.92031241959623e-06,-0.753024019175139,0.320162739521905,7.48961091445379,1789.35574392601,4.5289368778657,92.6599998033014,-1.7466772636175,0.148466782492605,0.0564454504277183,0.367325574956726,0.417903512158155
4,4.59063629929083e-06,-0.731720616816038,0.324817263524998,7.90330575935629,2706.2136488265,4.70252296148207,110.224915153024,-1.80124824353019,0.141699184957766,0.0503474855831453,0.289300577107741,0.515526941118876
5,1.73168970202293e-07,-0.579691891598627,0.359003492485283,7.74984444798654,2321.21131743301,4.81069889200603,122.817423644751,-1.81165692792367,0.140437990224242,0.0186855522952058,0.354777830545762,0.419215216655526
6,1.1376912428188e-05,-0.696318428579949,0.332628984418919,8.89046824275248,7262.41896251632,5.25810303185313,192.116706141692,-1.90609412130714,0.129420293535632,0.0933948517021193,0.973671997725514,0.258358493986531
7,7.38182129622179e-06,0.750985268782963,0.679393346399702,8.26178035925057,3872.98326765295,5.13832796986899,170.430564913642,-1.44912390400413,0.190136434659834,0.0721923361001915,0.23203226198672,0.479781199996824
8,0.00012275967585846,-0.8707849986451,0.295090986369809,9.32124708670844,11172.9067523312,5.41687453358831,225.174246997707,-1.98382896564012,0.1209112594127,0.112599900199809,1.00595746756655,0.303814108274242
9,2.66890078117599e-07,-0.60241715078118,0.353790882667824,7.61237190413546,2023.07094171953,4.55855417102553,95.4453823221928,-1.91875607586646,0.128000344237857,0.0285890575076375,0.59826652429065,0.478195495329107
10,2.38966196381307e-06,-0.641011450021495,0.345017935536043,7.82344843432316,2498.50650495042,4.58897350951912,98.3933784401542,-1.63231828166286,0.163513027330543,0.00785492195833547,0.219251296973909,0.388598622801776
11,1.26181041814427e-07,-0.570359739783112,0.361153820917945,8.02185901922217,3046.8361984035,4.62998271405312,102.512292073143,-1.96751178568006,0.122656396751227,0.0355120960360313,0.364167753879078,0.450255543258492
12,1.43918556021704e-05,-0.70370466632626,0.33099136801586,8.0265225026197,3061.0782514072,4.61111023804835,100.595772915311,-2.10237813091991,0.108865894245775,0.0490079197113003,0.273812219310631,0.382520160615248
