"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma","mu_s","log_sigma_s","sigma_s"
1,4.73639371193934e-06,0.460614303007685,0.613159895766759,10.5298924354303,37417.4493751651,4.76708848132637,117.576417198246,-2.41634147403809,0.0819350353675594,0.0588637900913639,0.27139117554601,0.255012108244256,4.93163324616801,2.42355232079495,11.2858792545309
2,6.22578498373566e-05,0.606950262807041,0.647244802315179,11.2232725464088,74852.3321049243,4.5371370970682,93.4229560418689,-2.31443185414988,0.0899347531671721,0.0449502641603159,0.180669508604989,0.256698609268505,5.48106136415293,2.54497612393753,12.7429238315879
3,5.7907841847926e-07,0.4903719229036,0.620194043960005,10.8533255552457,51705.8163056775,4.62145724037259,101.642041146907,-2.07167686475054,0.111880311593689,0.0680514029481372,0.161495665404144,0.251162516689323,5.2133450540373,2.43148984455272,11.3758176611524
4,7.58571657211693e-07,1.16373779598971,0.762011228288623,11.5881662617397,107814.373315803,6.34751228587188,571.070280844126,-3.14505463072669,0.0412865823624651,0.0721713497053662,0.69986461683276,0.420371917727817,6.28444019838023,1.855068394269,6.39213542110023
5,1.22386943661156e-05,-0.643672995227732,0.344416726409408,9.39771065077922,12060.7378593774,6.78960832486578,888.565464666952,-4.10751318841977,0.0161824492533046,0.0294267726483848,0.0306345029897638,0.557566885917528,7.45761248530492,1.96235692953091,7.11607941306271
6,3.63020451496916e-07,0.215283196858429,0.553613889392914,7.56016762856611,1920.16736129883,5.77384053065944,321.771134580043,-1.70109571263091,0.154322212891755,0.104689177779103,2.08896175207304,0.153674638340133,4.10648205691343,1.62350368389281,5.07082579933447
7,1.23458452212601e-05,0.178119080670414,0.544412411689208,7.78707281260075,2409.25490974175,5.66644552221578,289.005443107125,-1.65857227591382,0.15995374502627,0.110287114353403,1.86049265830776,0.139813348528517,4.1733624551847,1.59603755969144,4.93344516137551
8,8.45019403853175e-06,0.488624374071762,0.619782316528845,10.8856543021119,53404.7142086103,4.58716906298971,98.2159929393674,-2.18853539109734,0.100784749357323,0.0575779933215462,0.249877703217965,0.242781469038844,5.79186654117247,2.32312305132621,10.2075031348729
9,1.75173954860676e-05,0.198281000960459,0.549408480214749,7.42950978726271,1684.98137154545,5.88517974137646,359.667409302289,-1.80536864214912,0.141198799358966,0.104573671507011,1.98363585837475,0.145888977234393,4.3951626479277,1.49255865732889,4.44846306259503
10,6.17436447375541e-07,0.474070990912374,0.616346851621912,10.6438349995393,41933.2773506497,4.63232062365583,102.752236920566,-2.29847017392566,0.0912497398246878,0.0689568400900404,0.209307766858792,0.237130707685256,4.96395168787053,2.40922972607586,11.1253882472866
11,2.76205527233824e-07,0.542770473339449,0.632456664764606,11.1015572871842,66274.2879470126,4.76737307170126,117.609883076702,-2.14595613831219,0.104709711781254,0.0608690931725464,0.236493843268206,0.251111174502957,5.35086324160237,2.34378730326974,10.4206280004855
12,0.00404829282357888,0.480385795598233,0.617838970642505,9.8004612337936,18042.0646189282,4.76623505943358,117.476117714709,-2.2123446823829,0.0986473969150625,0.0472282578974864,0.182776877153192,0.281230154012418,5.34447001567371,2.45685214198563,11.6680243859139
13,6.65623190357067e-06,0.450916289804707,0.610857067961436,11.1470319735391,69357.6669134314,4.78671357282188,119.906655928266,-2.16649740157592,0.102799635503601,0.0646369356749406,0.339188077037589,0.283677591419837,5.33165650914382,2.41571806383032,11.1978082124171
14,2.71681338586485e-05,0.114315819470139,0.528547872749664,7.39126258150986,1621.75241546332,5.7208069704599,305.151071526767,-1.82968914274602,0.138275309280909,0.125079386639327,2.20617615549728,0.118673455316799,4.04565593410379,1.49882659211732,4.47643330523638
15,0.00367175955653565,0.515241563987882,0.626034413320116,11.2884721036027,79895.2837898742,6.22808034705489,506.781704144743,-2.33049913992508,0.0886283377688373,0.104606134135763,0.640136459596199,0.335217180300039,4.60920003130104,1.05295175916955,2.86609867740109
16,2.05746095913153e-05,0.0500111521942611,0.512500182790583,7.90316581811657,2705.83496443093,5.64059691273993,281.630777310993,-1.825315069172,0.138797328214432,0.115073553168723,2.04091018363445,0.0871810533713083,4.13345168891781,1.62435560239436,5.07514757028802
17,3.98024792871853e-07,0.172645571888467,0.543054504077566,7.61019052889436,2018.66267464662,5.6225350248474,276.589656906979,-1.75656395889698,0.147221202166288,0.105861766113743,1.97672952398497,0.142730257546029,4.23253144109685,1.64867823750692,5.20010198298162
18,1.75618537732816e-05,-0.582405331261452,0.358379314975378,9.24284798074311,10330.41753288,6.67812539518219,794.82772668781,-3.98650315881567,0.018226158081985,0.0698501680247323,0.189869790766989,0.594422493957101,7.66684046090594,1.84917418239231,6.35456963967959
19,3.1152836263208e-06,-0.623339131094978,0.349022399635471,9.2038333696152,9935.14122334561,6.64583413448942,769.571706282256,-4.23788585480977,0.0142325924425232,0.0412528998670432,0.178219289661389,0.571824094229162,7.73766764202934,1.84687383552671,6.33996872534899
20,5.90741926991492e-06,0.516170776570478,0.626251930737709,10.4215733131071,33576.2185164633,4.77464704962983,118.468493742091,-2.16236307348125,0.103181578983783,0.0543409224410702,0.368906685875036,0.226392258438494,5.27476369512798,2.31072803615717,10.0817618709803
21,0.838942271235783,1.05806280595255,0.742320170991912,10.3250293255849,30486.1976951296,6.25623630829667,521.253406475614,-3.02342061377721,0.0463789528320328,0.0395905723657896,0.482783242412997,0.18845788271036,5.78305260644849,1.61093088754273,5.00747045075405
22,8.79952701408927e-07,0.149362389581633,0.537271332249447,7.46409014951691,1744.26780312307,5.6695208352652,289.89559336146,-1.75215508120257,0.14777558542911,0.123460125855647,2.10432545654143,0.134303518597023,3.91473042625438,1.69282702482828,5.43482338849609
23,0.00022377465740635,0.445579312687217,0.609587663319438,11.4557392300427,94441.816933834,6.26303354581331,524.808558604452,-2.6162191324218,0.0681018510444502,0.122761703303772,0.502816887986088,0.323437555314002,4.65620340866864,0.994431513579697,2.70318717919006
24,6.24311418182057e-07,0.494778476706416,0.62123147151098,10.6442603705713,41951.1183463623,4.6687159585345,106.560826028874,-2.1923948914587,0.10043551223734,0.0422438946669628,0.233455700655215,0.223797809694059,4.9767461506378,2.34608650651637,10.4446147068059
25,9.64433967230266e-06,0.435535441038351,0.60719470306395,10.6906696598243,43943.9246273979,4.61455233866395,100.942630303739,-2.29066033266124,0.0918994277275517,0.0600799259153872,0.134583722729226,0.228361919150698,5.00820637298792,2.54181866698671,12.7027520518691
26,7.37230582866334e-06,0.22382744398627,0.555724411521617,7.37221477834533,1591.15393670857,5.80856294435375,333.140040744619,-1.72375904607402,0.151387608156084,0.124378160347542,2.0083063724921,0.175842374009162,3.78822228249066,1.66218312340342,5.27080511117346
27,0.0238244947600576,0.964833116858756,0.724088431373617,12.0544811269208,171867.846628487,4.6415984101447,103.709986262891,-2.78725392693472,0.0580168486016128,0.0720827582358789,0.574893712836133,0.445411299889399,5.06808777775262,1.56526256782466,4.78393087732693
28,6.47820195510633e-05,0.546622185771809,0.63335155780416,10.5497448825096,38167.6998218306,4.44121294854259,84.8778317033203,-2.29258508415332,0.0917389257874789,0.0430846132735993,0.1942877900963,0.181702212358523,5.62445561225097,2.42450258635433,11.2966089341088
29,5.39816520076881e-05,0.426546987770019,0.605048820264255,10.9746790133808,58377.1026125245,4.54655381047789,94.3068483937332,-2.02096648552743,0.117019091186425,0.0725234613813135,0.185396745539017,0.20651484412951,5.14979183793561,2.3914374718418,10.9291930640997
30,3.30647949264929e-07,0.502102346329547,0.622953263048001,11.1559025029744,69975.6429745942,4.73783682113535,114.186927579169,-2.15341438507587,0.104012592511975,0.0630199398412681,0.165362561263151,0.234761394700979,5.28142442306527,2.4350783007124,11.416712615101
31,1.64248334893803e-05,0.557107556109998,0.63578302079724,10.7677159504246,47463.4846617589,4.86079914126522,129.127351881625,-2.05614505534375,0.113432928716859,0.0405782672967335,0.264252098968893,0.244555285187427,5.61827352046856,2.44638155628603,11.5464907113551
32,2.50430742893937e-06,0.665482527822016,0.660490884787179,10.7923001288819,48644.7967359473,4.73778679524218,114.181215419008,-2.13108940248299,0.106111615386865,0.0494300333263042,0.219904189997669,0.245535370537011,5.10441429913501,2.38657431440473,10.8761717076684
33,7.18571686779049e-07,0.148658004631763,0.537096209919578,7.32510971623591,1517.94043223832,5.71022385290246,301.938650561556,-1.74765950345955,0.148342646285839,0.12610471326287,2.13400336083255,0.149367193675339,4.05905801558617,1.60657125168938,4.98568722101877
34,2.1666802790241e-07,0.562619069756371,0.637058325645195,10.6904536105048,43934.4315979011,4.64880656042809,104.460244167172,-2.22885517631403,0.0971890453222778,0.049296444721617,0.238551734573193,0.202432534226576,5.39660029937426,2.34394330171293,10.422253729033
35,7.81750124770508e-08,0.51497147021916,0.62597117807701,10.6980626377904,44270.0049610829,4.52614404214913,92.40157668099,-2.23367557397575,0.0967669080415737,0.0488607107286446,0.23402628843153,0.244098282580059,5.30499875984529,2.3507901027657,10.4938576761026
36,2.93614320732262e-07,0.548258485498874,0.633731452031403,10.8904961392966,53663.91814495,4.51288121095444,91.1841612008524,-2.18139648600133,0.101433574590817,0.0658880885838701,0.178609464033141,0.240867885251881,5.44848325156844,2.39200981418758,10.9354500945064
37,1.70603241153691e-06,0.158004937818487,0.539419258235626,7.5712515319174,1941.56869681607,5.52948237231189,252.013428127472,-1.8851048140107,0.13180362363335,0.112852885154785,2.02149934857226,0.1627985314161,4.25288657107628,1.64131084770536,5.16193158541629
